G,I,GI,II
121.3821,39.4734,0.0000,4.6887
121.4481,39.8028,0.0000,4.6887
121.5119,40.1183,0.0000,5.2238
121.5734,40.4200,0.0000,5.2238
121.6328,40.7080,0.0000,5.2238
121.6899,40.9826,0.0000,5.2238
121.7448,41.2437,0.0000,5.2238
121.7976,41.4917,0.0000,5.7903
121.8481,41.7267,0.0000,5.7903
121.8964,41.9491,0.0000,5.7903
121.9426,42.1588,0.0000,5.7903
121.9867,42.3564,0.0000,5.7903
122.0285,42.5419,0.0000,5.6677
122.0683,42.7156,0.0000,5.6677
122.1059,42.8778,0.0000,5.6677
122.1415,43.0287,0.0000,5.6677
122.1750,43.1686,0.0000,5.6677
122.2064,43.2977,0.0000,5.5146
122.2358,43.4162,0.0000,5.5146
122.2631,43.5244,0.0000,5.5146
122.2885,43.6225,0.0000,5.5146
122.3119,43.7109,0.0000,5.5146
122.3334,43.7896,0.0000,5.3332
122.3530,43.8590,0.0000,5.3332
122.3707,43.9192,0.0000,5.3332
122.3865,43.9705,0.0000,5.3332
122.4005,44.0131,0.0000,5.3332
122.4127,44.0473,0.0000,5.1260
122.4231,44.0732,0.0000,5.1260
122.4318,44.0911,0.0000,5.1260
122.4387,44.1011,0.0000,5.1260
122.4440,44.1035,0.0000,5.1260
122.4477,44.0985,0.0000,4.8956
122.4497,44.0863,0.0000,4.8956
122.4502,44.0670,0.0000,4.8956
122.4491,44.0410,0.0000,4.8956
122.4465,44.0082,0.0000,4.8956
122.4424,43.9696,0.0000,4.6363
122.4368,43.9260,0.0000,4.6363
122.4297,43.8779,0.0000,4.6363
122.4211,43.8258,0.0000,4.6363
122.4112,43.7699,0.0000,4.6363
122.3998,43.7103,0.0000,4.3505
122.3871,43.6471,0.0000,4.3505
122.3731,43.5802,0.0000,4.3505
122.4193,43.5097,0.0000,4.3505
122.5721,43.4354,0.0000,4.3505
122.8647,43.3817,0.0000,4.0761
123.3200,43.3990,0.0000,4.0761
123.9524,43.5416,0.0000,4.0761
124.7692,43.8574,0.0000,4.0761
125.7716,44.3837,0.0000,4.0761
126.9551,45.1461,0.0000,3.7898
128.3097,46.1587,0.0000,3.7898
129.8193,47.4248,0.0000,3.7898
131.4616,48.9378,0.0000,3.7898
133.2076,50.6818,0.0000,3.7898
135.0239,52.6311,701.1365,3.4956
136.8758,54.7503,701.1365,3.4956
138.7319,56.9952,701.1365,3.4956
140.5667,59.3149,701.1365,3.4956
142.3614,61.6564,701.1365,3.4956
144.1032,63.9694,1460.8561,3.1977
145.7844,66.2102,1460.8561,3.1977
147.4008,68.3441,1460.8561,3.1977
148.9506,70.3463,1460.8561,3.1977
150.4341,72.2015,1460.8561,3.1977
151.8526,73.9028,2273.9533,2.9003
153.2081,75.4501,2273.9533,2.9003
154.5033,76.8484,2273.9533,2.9003
155.7409,78.1064,2273.9533,2.9003
156.9238,79.2353,2273.9533,2.9003
158.0549,80.2476,2432.3645,2.6073
159.1372,81.1563,2432.3645,2.6073
160.1732,81.9742,2432.3645,2.6073
161.1658,82.7134,2432.3645,2.6073
162.1173,83.3853,2432.3645,2.6073
163.0301,84.0000,2570.1475,2.3225
163.9064,84.5667,2570.1475,2.3225
164.7483,85.0930,2570.1475,2.3225
165.5575,85.5859,2570.1475,2.3225
166.3360,86.0509,2570.1475,2.3225
167.0852,86.4927,2682.6856,2.0494
167.8068,86.9152,2682.6856,2.0494
168.5021,87.3214,2682.6856,2.0494
169.1724,87.7138,2682.6856,2.0494
169.8189,88.0940,2682.6856,2.0494
170.4426,88.4635,2766.0744,1.7909
171.0446,88.8233,2766.0744,1.7909
171.6257,89.1739,2766.0744,1.7909
172.1869,89.5158,2766.0744,1.7909
172.7288,89.8490,2766.0744,1.7909
173.2523,90.1737,2817.3467,1.5494
173.7579,90.4897,2817.3467,1.5494
174.2462,90.7967,2817.3467,1.5494
174.7178,91.0946,2817.3467,1.5494
175.1733,91.3831,2817.3467,1.5494
175.6130,91.6617,2834.6478,1.2979
176.0375,91.9303,2834.6478,1.2979
176.4470,92.1884,2834.6478,1.2979
176.8420,92.4358,2834.6478,1.2979
177.2229,92.6722,2834.6478,1.2979
177.5899,92.8973,2817.3467,1.0352
177.9433,93.1108,2817.3467,1.0352
178.2835,93.3574,2817.3467,1.0352
178.6106,93.6083,2817.3467,1.0352
178.9250,93.8561,2817.3467,1.0352
179.2268,94.0982,2766.0744,0.8775
179.5163,94.3325,2766.0744,0.8775
179.7936,94.5577,2766.0744,0.8775
180.0590,94.7726,2766.0744,0.8775
180.3126,94.9763,2766.0744,0.8775
180.5547,95.1681,2682.6856,0.7347
180.7852,95.3475,2682.6856,0.7347
181.0043,95.5139,2682.6856,0.7347
181.2123,95.6671,2682.6856,0.7347
181.4092,95.8066,2682.6856,0.7347
181.5953,95.9324,2570.1475,0.7724
181.7706,96.0442,2570.1475,0.7724
181.9354,96.1421,2570.1475,0.7724
